"file_id","input_path","output_path","score","H1","H2","H3","H4","H5","H6","H7","H8","H9","S1","S2","S3","S4","S5","S6","S7","S8","S9","S10","S11","S12","S13","S14","S15","S16","S17","S18","S19","S20"
"scan.jpg","inputs\scan.jpg","outputs\CheckedOMRs\scan.jpg","0","","024","","","4","8","37","6","9","","","","E","CD","","","","","A","AC","ABC","ABC","AC","ABC","","A","A","A","A"
"scan.jpg","inputs\scan.jpg","outputs\CheckedOMRs\scan.jpg","0","","","","","","","","","5","","B","","E","","","E","AB","","","","AB","B","AB","","ABC","","","","ABC"
"scan.jpg","inputs\scan.jpg","outputs\CheckedOMRs\scan.jpg","0","","","","","","","","","5","","B","","E","","","E","AB","","","","AB","B","AB","","ABC","","","","ABC"
"scan.jpg","inputs\scan.jpg","outputs\CheckedOMRs\scan.jpg","0","23","","","4","5","5","4","","","ABCE","C","D","BD","ACE","","","","AD","ADE","A","","","","","","","A","D","A"
"scan.jpg","inputs\scan.jpg","outputs\CheckedOMRs\scan.jpg","0","23","","","4","5","5","4","","","ABCE","C","D","BD","ACE","","","","AD","ADE","A","","","","","","","A","D","A"
"scan.jpg","inputs\scan.jpg","outputs\CheckedOMRs\scan.jpg","0","23","","","4","5","5","4","","","ABCE","C","D","BD","ACE","","","","AD","ADE","A","","","","","","","A","D","A"
"scan.jpg","inputs\scan.jpg","outputs\CheckedOMRs\scan.jpg","0","3","3","3","3","3","9","29","2","2","","DE","A","","C","","DE","E","D","A","DE","A","","B","CDE","BE","DE","A","C","CD"
"scan.jpg","inputs\scan.jpg","outputs\CheckedOMRs\scan.jpg","0","3","3","3","3","3","9","29","2","2","","DE","A","","C","","DE","E","D","A","DE","A","","B","CDE","BE","DE","A","C","CD"
