Ogrenci_No,Isim,Score,Tarih
E503110026,Bilinmeyen Ogrenci,0,2026-04-03 02:03:23
E503110026,Bilinmeyen Ogrenci,0,2026-04-03 02:05:09
E503110026,Bilinmeyen Ogrenci,0,2026-04-03 02:08:06
